metric,value
dataset/validation_samples,81
mapping/boundary,0.6095
mapping/divider,0.8602
mapping/mAP,0.7741
mapping/ped_crossing,0.8526
motion/EPA_car,0.6095
motion/EPA_pedestrian,0.4958
motion/minADE_car,0.3367
motion/minADE_pedestrian,0.732
motion/minFDE_car,0.4646
motion/minFDE_pedestrian,1.0765
motion/miss_rate_car,0.0507
motion/miss_rate_pedestrian,0.1566
perception/NDS,0.4811
perception/mAAE,0.2914
perception/mAOE,0.5643
perception/mAP,0.4249
perception/mASE,0.4518
perception/mATE,0.6033
perception/mAVE,0.4028
performance/FPS,5.9
performance/mean_latency_ms,169.4915254237288
performance/peak_torch_memory_mb,3942
planning/L2,0.7612
planning/collision_percent,0.242
planning/per_sample_collision_rate_percent,4.3478260869565215
planning/per_sample_mean_l2,0.7612106151842842
planning/valid_samples,69
tracking/AMOTA,0.5649
tracking/AMOTP,0.9584
tracking/IDS,79.0
tracking/MOTA,0.5832
tracking/MOTAR,0.914
tracking/MOTP,0.5452
tracking/recall,0.6535
