metric,value
async_qwen,{"submitted": 524, "dropped": 501, "completed": 22, "errors": 0}
average_speed_kmh,34.551
collision_events,0
collision_free,True
collision_rate_per_1000_frames,0.0
collision_rate_per_km,0.0
control_latency_ms_mean,0.155
control_latency_ms_p95,0.24
distance_m,5031.581
duration_s,524.25
frames,10486
goal_distance_m,None
goal_reached,False
illegal_lane_invasion_events,0
illegal_lane_invasion_free,True
lane_invasion_events,12
lane_invasion_free,True
lane_invasion_rate_per_1000_frames,1.1444
max_speed_kmh,59.565
response_latency_ms_mean,7.647
response_latency_ms_p95,8.934
runner_stop_reason,scenario_success
scenario,basic_voice_urban_5km
scenario_reason,route_completed_without_collision_or_illegal_lane_invasion
